,Source,Target,Predicted
10,"Subject: server status scripting|||Rajiv: To summarize what we discussed this morning. I will put together a set of scripts that operation intends to use in their monitoring enviorment to know the health of following. (in order of priority) 1) Up/down status (maybe some statistics)  of EMAS servers This will be accomplished by establishing a connection to the adminthread and pulling relevant data (statistics). 2) EPServlet health Emulate a device and pull statistics. 3) Application health Emulate a device and get a page of a real application, do some error testing and return a result. This exercise falls on low priority and hence I am not putting a timeframe on it. Rajiv|||Craig: Yes, but that's where we were in the first place and it didn't seem to be working.  Rajiv and Nihar were the ones that made the determination that going the scripting route would be the best way.  This is something that has to be accessed via the command line.  If I am reading your statement incorrectly, by all means please correct me. Since november, we've been working with a very inaccurate monitoring tool.  This is how long the issue has been outstanding in our eyes.  It needs attention as soon as possible. Craig|||Prasad: Nihar, Please call for a meeting to decide what we are going to do. Rajiv and Nihar, be prepared to present the pros and cons of different approaches. cheers --prasad|||Rajiv: Scripting will allow operations to monitor the health of all the parameters I discussed in my original mail unattended. AdminConsole is useful when somebody wants to get the status manually. As far as I know this is the main reason for suggesting scripting solution. Rajiv","Rajiv makes a summary of a meeting this morning that discussed putting some scripts together and says it is low priority. Craig says the issue still exists, thinks the problem lies in another area, and believes it to be of a higher importance. Prasad calls for another meeting. Rajiv states the reason for his solution and why he thinks it is best.",Rajiv summarizes what the group talked about and mentions that applications are under a low priority. He notes that application health is under low priority. Craig tells Rajiv that the script he is working on is the same script that did not work and is inaccurate in the past. Prasad e-mails the group chat and suggests they have a meeting.WebpackPlugin. Rajiv replies and agrees that the script is used to monitor but only unattended.
11,"Subject: please come to exec offsite|||David: Hey guys: You are invited to present your slides at the exec offsite on Monday.  Please come during your designated spots - Lisa will inform.  It is at the Beverly Heritage - where we had last meeting. Please get directions from Noemi.  Thanks. David|||Lisa: You guys are on at 1:30.  You have 1/2 hr to present the marketing Q3 objectives. Let me know if you have any questions. Thanks, Lisa|||Giselle: Could you please send me directions / time for the offsite? Thanks|||Dan: I'm schedule to be in LA for TransAmerica meeting with Meshele starting at 11 so I won't be back in time for 1:30pm slot.",David lets everyone know they are invited to present their slides at an exec offsite and there are designated slots for everyone.. Lisa informs everyone of the time slot and lets everyone know to ask her questions. Giselle asks for directions and time. Dan says he won't be there since he is already booked for another meeting.,"David passes on an invite from the slides during the exec offsite and passes along Lisa's information for time and place. Giselle asks for the directions and times to go to Beverly Heritage, Dan says that they won't make the 1:30 slot because they'll be in the middle of another meeting."
12,"Subject: lunch this week|||Susan: All, Regarding our lunch this week to celebrate the one year anniversaries for Michelle & David, and Mark's birthday, I have a request to make it Wednesday instead of Tuesday.  Does anyone have an objection to this? Susan|||David: I have another lunch engagement Wed, but I will skip it if everyone else wants to move our lunch. David|||Tamra: Susan, Wednesday works out better for me as well.  I have a doctor's appointment tomorrow during lunch. Tamra",Susan emails everyone about a  lunch to celebrate a one year anniversary as well as Mark's birthday. She says she would change the date to a different day. David says he is busy that day with his own appointment but is willing to go with the majority and cancel that appointment to make this one.  Tamra agrees with Susan's date as she is busy Tuesday with an appointment.,"Susan emails Tamra, Patricia, Julie, David and Michelle that since there are three celebrations this week, 1 year of Michelle, 1 year of David and Mark's birthday. One of them falls on Wednesday and proposes to celebrate everything on Wednesday only, the other day would be Tuesday. This is to allow celebrations in the same day without classroom. David replies he has another lunch Wednesday and asks the group if they want him to skip that one. Tamra replies she would prefer Wednesday as well cause she has doctor's appointment on Tuesday."
13,"Subject: global phone|||Stuart: Mark, I am leaving for Tokyo on Friday.  Can I please have the Global phone and charger?  Does the company own a foreign power conversion kit for PC, Phone, etc? I will be in San Jose on Thursday and can pick everything up before I leave. Please let me know. Thanks. Stuart|||Mark: I am not aware of AvocadoIT owning a power conversion kit.  We do have some adapters for different laptop power supplies but I am not sure if they work for Japan.  I will check around and let you know what I find. Mark|||Stuart: Thanks...I'll make a visit to Radio Shack if I don't hear from you... Have a nice weekend. Stuart","Stuart asks Mark for a global phone, charger, and foreign power conversion kit as he is leaving for a business trip. Mark says he doesn't know if the company owns a power kit and he might not have it but will let Stuart know. Stuart says thanks and if Mark can't find it he will try Radio Shack.","Stuart informs Mark that he will be leaving for Tokyo on Friday and wants to pick up the Global phone and charger. Stuart will be in San Jose on Thursday and wants to pick up everything before he leaves. Mark lets Stuart know that AvocadoIT doesn't own any power conversion kit. But, they have laptop power adapters that may work in Japan. Mark will confirm which power adapter to give Stuart."
14,"Subject: paytrust- very important.. please take care of it right now.|||Baxish: Shailesh, Please move all the files of Paytrust demo which Prema has sent to you to the VSS. Please move them to PATH/pda the aml files and the scripts to (please take these three files from the VSS) PATH/add PATH/mod PATH/subtract PATH/substringP paytrustdemoidc/scripts/paytrust/returnString PATH/concat baxish.|||Shailesh: Let me the no. howmany files are there. Thanks Shailesh|||Shailesh: Hi Baxish/Prema, Updates the files. Can you verify the files in VSS. Thanks Shailesh|||Baxish: Prema will do that for you.. anything else.. am leaving for the weekend.. Call me on my cell or my hotel if u need me. -baxish.|||Shailesh: give me acall if it is possible. Bye Shailesh","Baxish tells Shailesh to fix an urgent issue with Paytrust. Shailesh asks Baxish a  technical question and to update some files. Baxish says Prema will do it, will be out for the weekend, asks Shailesh to call if he needs. Shailesh asks Baxish to call him back.",B's Paytrust asks S to put some Path files in the VSS. Shailesh confirms and also asks that the files be verified in the VSS. B tells Shailesh that Prema will do it and to reach out to him if there are more concerns. Shailesh asks Baxish to call him for a quick question.
15,"Subject: monitor heightner|||Andrew: How much do you want to raise your monitor?  I have mine raised 3 inches.   Let me know and I will bring the risers over. -----Original Task----- Status:	Not Started % Complete:	0% Total work:	0 hours Actual work:	0 hours Requested by:	@Facilities I would like to request a heightner for my desktop monitor. Thanks, Arun.|||Mark: Andy, How about it, do we have any monitor heightners in stock? Mark|||Arun: Thanks Andy. arun.|||Andrew: Do you want it higher, lower or is it cool the way it is.|||Arun: absolutely fine the way it is.",Andrew responds to Arun's request about a monitor heightener. Mark asks Andy if there are any heighteners available. Arun thanks Andy. Andy asks Arun if he needs his monitor to be adjusted and Arun says he is fine as is.,"Andrew emails Mark and asks about monitor raisers. Mark asks for a favor about getting monitor risers and says Arun will pick it up for him. Andrew asks Frank if he would like it higher. Arun responds to the group, saying either way is fine."
16,"Subject: generate all bug|||Nora: Tony, The exception is in ValidateGraph, actually. Access doesn't show anything new in displayaml. I have to leave, but I left my machine on in case you wanted to check it out. Do Generate | All to see the exception Access database = ODBC (this is open already) Thanks, Nora|||Tony: Nora, This will be Shashi's bug. Could you please let her know? Thanks -Tony|||Nora: Shashi, I guess this is yours according to Tony. I no longer have it up (I'm trying to reproduce it now). Hopefully the stack trace will give you an idea of what's happening. Nora","Nora tells everyone about a bug she found and describes it in detail. Tony says it is Shashi's bug. Nora tells Shashi it is her bug, says she does not have it up anymore but is trying to remake it, and tries to help her with what is happening.","Nora found an exception in accessing a program after validating a graph.  Tony asks Nora to tell Shashi about the bug.  Nora then tells Shashi that it's her bug, by Tony's determination."
17,"Subject: installation software and documentation material|||Stephen: Good Morning Ruth, In support of the new Licensed application, Can we get the necessary documentation and software  to perform a typical installation of the product. Thank you so kindly, Stephen|||Ruth: Stephen, Apologies for the dealy in communication the information to you. You can find all the latest documentation at: PATH/Publications Team/AVOCADOIT Documentation/2.5GA Release Regards, Ruth|||Stephen: No problem. Thank you very much for the information. Regards, Stephen",Stephen asks Ruth for necessary documentation and software to install a project. Ruth apologizes to Stephen for a delay and provides a link for the requested information. Stephen thanks Ruth.,Stephen asks Ruth about documentation and software necessary for installation of a program. Ruth apologizes about the delay and provides Stephen with a information on where to find the latest documentation on the application.
18,"Subject: ryder account analysis|||Christopher: Peter: Attached is something I use to work deals.  It is a work in progress as more information comes up and serves to focus my efforts on an account. The org chart is staring to flush out after tonight's conversation with Ruff.  It may help you and Ray to get a visual on where the players are matching up and who is who, so to speak. Thank you and have a great day! Chris|||Christopher: Peter: Attached is something I use to work deals.  It is a work in progress as more information comes up and serves to focus my efforts on an account. The org chart is staring to flush out after tonight's conversation with Ruff.  It may help you and Ray to get a visual on where the players are matching up and who is who, so to speak. Thank you and have a great day! Chris|||Peter: Chris - I like this very much. Can you get the Apptricity name off of it, put on EP. I want others to use when we get into these type deals - but they have a big hang up here about intellectual property issues because of past history.  Thanks. Peter|||Christopher: Peter: Here is the cleaned up version.  Feel free to pass along. This is an eclectic sales workbook with elements of Miller Heiman's Strategic Selling & Solution Selling. Most cells have pick list values that are a part of the various methodologies.  I developed it about 4 years ago and is extremely useful. For most reps (and yourself) the questionnaire and org chart are convenient places to track core data. Thank you and have a great day! Chris|||Christopher: Peter: Here is the cleaned up version.  Feel free to pass along. This is an eclectic sales workbook with elements of Miller Heiman's Strategic Selling & Solution Selling. Most cells have pick list values that are a part of the various methodologies.  I developed it about 4 years ago and is extremely useful. For most reps (and yourself) the questionnaire and org chart are convenient places to track core data. Thank you and have a great day! Chris","Chris attaches an analysis of how to work deals to Peter, gives him a roadmap, and asks for his feedback. Peter likes it but needs one thing to be changed due to copyright issues. Chris changes it, updates Peter, and provides more details.","Christopher tells peter and ray that he uses a document he developed to work on accounts and to get a visual match-up on where to focus their efforts. Peter tells Chris that he likes the document a lot and wants him to take the Apptricity name off of it, because his company has a problem with intellectual property issues. Christopher sends Peter the document without the Apptricity name."
19,"Subject: release 3.0 training|||Chris: There will be a Training Session next week on Thursday April 5th  10.00am - 4.00pm to get everyone acquainted with the features of the new 3.0 product release. You will be joining the SE's who will be here next week for Sales/SE Training. The session will be in the Training Room. It would be useful if you can find time to take a look at the new release yourselves before the session and to review the Technical Documentation which will be available with the product this weekend. We look forward to seeing you there and thanks to Steve and his team for hosting this session. Thanks Chris|||Lisa: We will do a webex training session for IDC.  We need to get it coordinated.  Please work with Elisabeth and Doug to make this happen. Thanks, Lisa|||Doug: Chris, The way to handle the 3.0 KT for IDC is to have each R&D engineer do a WebEx session and spread them out over time. Doug|||Ajay: Hey Chris, I don't have the email for Tom or Cathy.  Would appreciate it if you can send it my way so that I can introduce myself and go over some of the stuff. Thanks, ajay",Chris updates everyone on a training session and asks everyone to prepare. Lisa updates everyone on another training session by WebEx. Doug answers a technical question for Chris and Ajay asks for help finding an email so he can prepare.,"Chris sends an announcement about a training session to Ray, Charlie, Ajay, and Devon. Lisa replies to Chris and suggests coordinating a training session. Doug replies with a suggestion about how to handle training for IDC. Ajay replies to Doug and says he doesn't have an email for Tom or Cathy, and he wishes to be introduced."
20,"Subject: meeting minutes held on 7/3/02|||Srikanth: Carlos to verify fixes against Biogen. Diana to test locally based on the changes made. Ravikumar in QA will test it also. QA will run auto tests in addition to ensure that there are no regressions. We should have an update on the testing efforts by 2 pm. I am optimistic that this is the build that will go out. Srik|||Ravikumar: Tested build 332. 1. Inserted records in all screens on both device as well as server for Contact and Account. Did a sync. download has few problems 2. updated all possible fields in device as well as server. did a sync. updates were successfully uploaded and downloaded. Thanks, Ravikumar.|||Roopak: Looks like there are few problems with Download. Looking into those. Roopak|||Carlos: Srik, are you still interested in my results from the testing or should we wait for the next build? I tested the Market Willingness problem and it is fixed. The Product Topic overflow problem is not fixed because the updates did not go to clear case. The Staff issue is fixed and verified at Biogen. The custom browser issue is fixed and verified on device.",Srikanth provides meeting minutes regarding testing and finalized build. Ravikumar updates Srikanth on a build test and what he did to change it. Roopak points out a few issues and says he is looking into those. Carlos asks Srikanth if he is interested in learning about his test results right now and lists some of the solutions and issues he found.,Srikanth emails on 07/03 about status on builds for Biogen. Ravikumar confirms that screens on contact and account inserts did a sync with updates. Roopak has found a few issues with the download. Carlos is reporting his issues from his testing.
21,"Subject: existing procedure|||Om: Hi I wish to come out with a revised procedure for engineering by Friday Nov. 17, 00. If you have any internal procedure for your group please arrange to send it, I will go through it. If you do not have, please let me know I will come and discuss with you and take notes. Om|||Srikanth: Om Are you referring to feature development or any such formal process within a group ? Srik|||Om: Thanks Srik for clarification: I am referring to within group (ERT, ECS, DOC and QA) Om","Om tells his team he would like to revise a procedure, asks them to send any internal procedures if they have them, and if not asks them for a good time for feedback. Srikanth asks Om for clarification about a detail. Om thanks him and clarifies.","Om says he would like to send out a revised contract by a specific date and wants to know if any other group has internal procedures in place, and if so, please send him a copy. Om says if no internal procedure exists, please contact him and he will come to take notes. Srikanth asks if the development of features or other groups are included within the scope of the message. Om says features are not included, just groups e.g. ERT or DOC."
22,"Subject: pemex on hp jornada|||Dan: All, We have an opportunity with PEMEX in Mexico thru HP/Mexico. The customer and HP are asking for Jornada 548 and the Jornada 720 devices. >> Should we use EMAP 2.5 or another build (which one) for this project ? Content is mixture of HTML, WAP-C (?) and email. Thanx, Dan.|||Ray: We were able to do etrade like demos on our windows CE emulator with 2.5.060. HP Jornada should not be a problem. ray|||Ricardo: Dan, I'll take a look at the URLs and get back with you. I am going to ask Rayhan for help. Ricardo|||Ricardo: WAP-C is WML 1.1. I am looking at the WML content they have provided for the mobile section of their site. We'll have to get the url for the original HTML apps. I don't think the URL of the main site has the content of interest. Will inform more when I find more.",Dan tells everyone there is an opportunity with a company for a project and asks whether to use a certain build for a project. Ray states  a build should be fine as he has used it previously. Ricardo says he will go over it with Rayhan and then get back to Dan. Ricardo then emails the solution to the team and says he will need more information to complete the project and make a final decision.,"Dan asks Ricardo, Ray, and Kim which out of two options they should use for a Mexico based client project. Ray tells Dan and Ricardo that the Mexico client projects will not be a problem because they have already been tested. Ricardo tells Dan that he will collaborate with Rayhan in order to update him on more client based mobile information. Ricardo gives Dan and update saying that he is currently looking at some WML 1.1 content that Ricardo has informed him on. When Ricardo finds more information he will inform him about his progress."
