,Source,Target,Predicted
10,"Subject: server status scripting|||Rajiv: To summarize what we discussed this morning. I will put together a set of scripts that operation intends to use in their monitoring enviorment to know the health of following. (in order of priority) 1) Up/down status (maybe some statistics)  of EMAS servers This will be accomplished by establishing a connection to the adminthread and pulling relevant data (statistics). 2) EPServlet health Emulate a device and pull statistics. 3) Application health Emulate a device and get a page of a real application, do some error testing and return a result. This exercise falls on low priority and hence I am not putting a timeframe on it. Rajiv|||Craig: Yes, but that's where we were in the first place and it didn't seem to be working.  Rajiv and Nihar were the ones that made the determination that going the scripting route would be the best way.  This is something that has to be accessed via the command line.  If I am reading your statement incorrectly, by all means please correct me. Since november, we've been working with a very inaccurate monitoring tool.  This is how long the issue has been outstanding in our eyes.  It needs attention as soon as possible. Craig|||Prasad: Nihar, Please call for a meeting to decide what we are going to do. Rajiv and Nihar, be prepared to present the pros and cons of different approaches. cheers --prasad|||Rajiv: Scripting will allow operations to monitor the health of all the parameters I discussed in my original mail unattended. AdminConsole is useful when somebody wants to get the status manually. As far as I know this is the main reason for suggesting scripting solution. Rajiv",Rajiv makes a summary of a meeting. Craig says the issue still exists. Prasad calls for another meeting. Rajiv states the reason for his solution.,Rajiv informs the group about scripts for the monitoring environment. Craig tells Prasad that they need to meet to discuss things. Rajiv responds that the script is important.
11,"Subject: please come to exec offsite|||David: Hey guys: You are invited to present your slides at the exec offsite on Monday.  Please come during your designated spots - Lisa will inform.  It is at the Beverly Heritage - where we had last meeting. Please get directions from Noemi.  Thanks. David|||Lisa: You guys are on at 1:30.  You have 1/2 hr to present the marketing Q3 objectives. Let me know if you have any questions. Thanks, Lisa|||Giselle: Could you please send me directions / time for the offsite? Thanks|||Dan: I'm schedule to be in LA for TransAmerica meeting with Meshele starting at 11 so I won't be back in time for 1:30pm slot.",David lets everyone know they are invited to present their slides at an offsite. Lisa informs everyone of the time. Giselle asks for directions. Dan says he won't be there.,AvocadoITNerd Team  is scheduled to present the Q3 marketing objectives at 1:30pm during exec offsite which is situated at the Beverly Heritage and detailing was provided by Lisa.
12,"Subject: lunch this week|||Susan: All, Regarding our lunch this week to celebrate the one year anniversaries for Michelle & David, and Mark's birthday, I have a request to make it Wednesday instead of Tuesday.  Does anyone have an objection to this? Susan|||David: I have another lunch engagement Wed, but I will skip it if everyone else wants to move our lunch. David|||Tamra: Susan, Wednesday works out better for me as well.  I have a doctor's appointment tomorrow during lunch. Tamra",Susan emails everyone about an anniversary and offers to change the date. David says he is busy but is willing to go with the majority.  Tamra agrees with Susan's date.,Susan asks coworkers if they can move a lunch to Wednesday. David and Tamra say they can and list their reasons why.
13,"Subject: global phone|||Stuart: Mark, I am leaving for Tokyo on Friday.  Can I please have the Global phone and charger?  Does the company own a foreign power conversion kit for PC, Phone, etc? I will be in San Jose on Thursday and can pick everything up before I leave. Please let me know. Thanks. Stuart|||Mark: I am not aware of AvocadoIT owning a power conversion kit.  We do have some adapters for different laptop power supplies but I am not sure if they work for Japan.  I will check around and let you know what I find. Mark|||Stuart: Thanks...I'll make a visit to Radio Shack if I don't hear from you... Have a nice weekend. Stuart",Stuart asks Mark for a global phone and conversion kit. Mark says he might not have it but will let Stuart know. Stuart says thanks.,Stuart needs a Global phone to take a trip to Tokyo. He is inquiring about a power conversion kit for his stuff in Japan.
14,"Subject: paytrust- very important.. please take care of it right now.|||Baxish: Shailesh, Please move all the files of Paytrust demo which Prema has sent to you to the VSS. Please move them to PATH/pda the aml files and the scripts to (please take these three files from the VSS) PATH/add PATH/mod PATH/subtract PATH/substringP paytrustdemoidc/scripts/paytrust/returnString PATH/concat baxish.|||Shailesh: Let me the no. howmany files are there. Thanks Shailesh|||Shailesh: Hi Baxish/Prema, Updates the files. Can you verify the files in VSS. Thanks Shailesh|||Baxish: Prema will do that for you.. anything else.. am leaving for the weekend.. Call me on my cell or my hotel if u need me. -baxish.|||Shailesh: give me acall if it is possible. Bye Shailesh",Baxish tells Shailesh to fix an urgent issue with Paytrust. Shailesh asks Baxish a question. Baxish says Prema will do it and asks Shailesh to call if he needs.,"Baxish asks Shailesh to move files. Shailesh asks for the number of files, and asks Baxish to update some files. Shailesh asks Baxish to call him before leaving."
15,"Subject: monitor heightner|||Andrew: How much do you want to raise your monitor?  I have mine raised 3 inches.   Let me know and I will bring the risers over. -----Original Task----- Status:	Not Started % Complete:	0% Total work:	0 hours Actual work:	0 hours Requested by:	@Facilities I would like to request a heightner for my desktop monitor. Thanks, Arun.|||Mark: Andy, How about it, do we have any monitor heightners in stock? Mark|||Arun: Thanks Andy. arun.|||Andrew: Do you want it higher, lower or is it cool the way it is.|||Arun: absolutely fine the way it is.",Andrew responds to a request about a monitor heightener. Mark asks Andy if there are any available. Arun thanks Andy and says he is fine as is.,Andrew asks Arun how high he wants his monitor. Mark asks Andy if they have monitor heighteners. Arun tells Andrew his monitor is fine where it is.
16,"Subject: generate all bug|||Nora: Tony, The exception is in ValidateGraph, actually. Access doesn't show anything new in displayaml. I have to leave, but I left my machine on in case you wanted to check it out. Do Generate | All to see the exception Access database = ODBC (this is open already) Thanks, Nora|||Tony: Nora, This will be Shashi's bug. Could you please let her know? Thanks -Tony|||Nora: Shashi, I guess this is yours according to Tony. I no longer have it up (I'm trying to reproduce it now). Hopefully the stack trace will give you an idea of what's happening. Nora",Nora tells everyone about a bug she found. Tony says it is Shashi's bug. Nora tells Shashi it is her bug and tries to help her with what is happening.,Nora asks Tony to generate all bugs and lists steps to reproduce a bug. Tony forwards the bug to Shashi and Nora says it's Shashi's guess according to Tony.
17,"Subject: installation software and documentation material|||Stephen: Good Morning Ruth, In support of the new Licensed application, Can we get the necessary documentation and software  to perform a typical installation of the product. Thank you so kindly, Stephen|||Ruth: Stephen, Apologies for the dealy in communication the information to you. You can find all the latest documentation at: PATH/Publications Team/AVOCADOIT Documentation/2.5GA Release Regards, Ruth|||Stephen: No problem. Thank you very much for the information. Regards, Stephen",Stephen asks Ruth for documentation to install a project. Ruth apologizes to Stephen for a delay and provides a link. Stephen thanks Ruth.,Stephen is requesting the necessary software and documentation to support the new licensed application. Ruth is providing a location where that information can be found.
18,"Subject: ryder account analysis|||Christopher: Peter: Attached is something I use to work deals.  It is a work in progress as more information comes up and serves to focus my efforts on an account. The org chart is staring to flush out after tonight's conversation with Ruff.  It may help you and Ray to get a visual on where the players are matching up and who is who, so to speak. Thank you and have a great day! Chris|||Christopher: Peter: Attached is something I use to work deals.  It is a work in progress as more information comes up and serves to focus my efforts on an account. The org chart is staring to flush out after tonight's conversation with Ruff.  It may help you and Ray to get a visual on where the players are matching up and who is who, so to speak. Thank you and have a great day! Chris|||Peter: Chris - I like this very much. Can you get the Apptricity name off of it, put on EP. I want others to use when we get into these type deals - but they have a big hang up here about intellectual property issues because of past history.  Thanks. Peter|||Christopher: Peter: Here is the cleaned up version.  Feel free to pass along. This is an eclectic sales workbook with elements of Miller Heiman's Strategic Selling & Solution Selling. Most cells have pick list values that are a part of the various methodologies.  I developed it about 4 years ago and is extremely useful. For most reps (and yourself) the questionnaire and org chart are convenient places to track core data. Thank you and have a great day! Chris|||Christopher: Peter: Here is the cleaned up version.  Feel free to pass along. This is an eclectic sales workbook with elements of Miller Heiman's Strategic Selling & Solution Selling. Most cells have pick list values that are a part of the various methodologies.  I developed it about 4 years ago and is extremely useful. For most reps (and yourself) the questionnaire and org chart are convenient places to track core data. Thank you and have a great day! Chris",Chris attaches an analysis to Peter and asks for his feedback. Peter likes it but needs one thing to be changed . Chris changes it and updates Peter.,Chris sends Peter a file containing work deals. Peter tells Chris he likes it and wants him to make a slight change. Chris sends a new file.
19,"Subject: release 3.0 training|||Chris: There will be a Training Session next week on Thursday April 5th  10.00am - 4.00pm to get everyone acquainted with the features of the new 3.0 product release. You will be joining the SE's who will be here next week for Sales/SE Training. The session will be in the Training Room. It would be useful if you can find time to take a look at the new release yourselves before the session and to review the Technical Documentation which will be available with the product this weekend. We look forward to seeing you there and thanks to Steve and his team for hosting this session. Thanks Chris|||Lisa: We will do a webex training session for IDC.  We need to get it coordinated.  Please work with Elisabeth and Doug to make this happen. Thanks, Lisa|||Doug: Chris, The way to handle the 3.0 KT for IDC is to have each R&D engineer do a WebEx session and spread them out over time. Doug|||Ajay: Hey Chris, I don't have the email for Tom or Cathy.  Would appreciate it if you can send it my way so that I can introduce myself and go over some of the stuff. Thanks, ajay",Chris updates everyone on a training session and asks everyone to prepare. Lisa updates everyone on another training session. Doug answers a technical question and Ajay asks for help.,Chris is hosting a training session for the 3.0 product release and to get everyone updated with the new features. Lisa is also setting up a webex training session.
20,"Subject: meeting minutes held on 7/3/02|||Srikanth: Carlos to verify fixes against Biogen. Diana to test locally based on the changes made. Ravikumar in QA will test it also. QA will run auto tests in addition to ensure that there are no regressions. We should have an update on the testing efforts by 2 pm. I am optimistic that this is the build that will go out. Srik|||Ravikumar: Tested build 332. 1. Inserted records in all screens on both device as well as server for Contact and Account. Did a sync. download has few problems 2. updated all possible fields in device as well as server. did a sync. updates were successfully uploaded and downloaded. Thanks, Ravikumar.|||Roopak: Looks like there are few problems with Download. Looking into those. Roopak|||Carlos: Srik, are you still interested in my results from the testing or should we wait for the next build? I tested the Market Willingness problem and it is fixed. The Product Topic overflow problem is not fixed because the updates did not go to clear case. The Staff issue is fixed and verified at Biogen. The custom browser issue is fixed and verified on device.",Srikanth provides meeting minutes. Ravikumar updates Srikanth on a build test. Roopak points out a few issues. Carlos asks Srikanth if he is interested in learning about test results.,a veriety of tests are being conducted on a build to try and meet a deadline.
21,"Subject: existing procedure|||Om: Hi I wish to come out with a revised procedure for engineering by Friday Nov. 17, 00. If you have any internal procedure for your group please arrange to send it, I will go through it. If you do not have, please let me know I will come and discuss with you and take notes. Om|||Srikanth: Om Are you referring to feature development or any such formal process within a group ? Srik|||Om: Thanks Srik for clarification: I am referring to within group (ERT, ECS, DOC and QA) Om",Om tells his team he would like to revise a procedure and asks them for feedback. Srikanth asks Om for clarification and Om answers him.,Om asks Srikanth to send him any internal procedures by Friday in order to come up with a revised engineering procedure.
22,"Subject: pemex on hp jornada|||Dan: All, We have an opportunity with PEMEX in Mexico thru HP/Mexico. The customer and HP are asking for Jornada 548 and the Jornada 720 devices. >> Should we use EMAP 2.5 or another build (which one) for this project ? Content is mixture of HTML, WAP-C (?) and email. Thanx, Dan.|||Ray: We were able to do etrade like demos on our windows CE emulator with 2.5.060. HP Jornada should not be a problem. ray|||Ricardo: Dan, I'll take a look at the URLs and get back with you. I am going to ask Rayhan for help. Ricardo|||Ricardo: WAP-C is WML 1.1. I am looking at the WML content they have provided for the mobile section of their site. We'll have to get the url for the original HTML apps. I don't think the URL of the main site has the content of interest. Will inform more when I find more.",Dan tells his te there is an opportunity and asks their approval. Ray decides on a build. Ricardo goes over the information and gets back to the team.,Dan initiates a thread regarding a job opportunity from PEMEX. Ric and Ray share some details to see if it can be done on time.
23,"Subject: offline and weblogic 6.1|||Sharon: Ravi/Rajeev - Sreeni is going to start working on certifying offline with weblogic 6.1 - He's going to try to finish by this Friday. He'll be out of the office next week 2/11-2/15 (mon-thurs) so he needs to have everything resolved/logged by Friday. Ravi - he'll bring up any issues directly to you. thanks,sharon|||Sreenivas: Deploying the OSAServlet to Weblogic 6.1 is done. OSA works fine with the Weblogic 6.1 I will write up the instructions and send out tomorrow. Sreenivas|||Rajeev: Great work Sreeni!!! We should have a formal ""OSA Certification Process"" document that details the tasks that are required to certify an OSA on a new Web server. This should include contacting the Install (via bugzilla and email) developers and managers to see if they can make the installation proceess easier. Thanks Rajeev|||Sharon: thanks!!!!",Sharon updates Ravi/Rajeev of Sreeni's new role. Sreeni updates everyone about a task. Rajeev congratulates Sreeni and offers technical feedback. Sharon thanks Sreeni.,Sharon provides Ravi/Rajeev with information Sreeni's project to certify offline with weblogic 6.1. Sreeni updates the group and Rajeev gives Sreeni praise and advice. Sharon thanks the group.
24,"Subject: oracle 8i (8.1.7.0.0) support|||Srikanth: Does Oracle support this version IPADDRESS.0 ? We ahve been certifying our products against this version of Oracle ? I just want to make sure that Oracle supports this version. I couldn't tell from Oracle's web site. Thanks Srik|||Nadir: Srik, In a situation like this when I'm not here you can call Oracle directly and ask them, it takes 5 minutes. Thanks Nadir|||Craig: ROFL! YEAH BABY! :} /me proud of u!|||Srikanth: Ok. Do you wnat me to call them or do you know if it is supported ? Thanks Srik|||Nadir: I called them and yes they support this version, and there is no plan or set date for when they will stop supporting it. Nadir",Srikanth asks Rajeev if something is supported by Oracle. Nadir says he should just call Oracle. Craig agrees. Nadir says he called them and says it is supported.,The group is reviewing the new products and are asking about the oracle support for the new product. The groups agrees the new product is Ok.
25,"Subject: lilly demo: syncing with siebel|||Ray: Hey Andy, Just an FYI....and a small request. We will be onsite next wed at Eli Lilly and we want to show Live Siebel and our syncing solution demo.  I plan on showing the following: - Siebel Thin Client (HTTP://LINK SPORTER SPORTER.  Note EP1 no longer works. - Update an activity (bagel example).  Display device's screen on overhead. - Drop device in cradle for auto-sync. - Walk through messaging (3rd party data source, barcode scanning, sig capture, etc) Suggestion: - Rebrand demo with Lilly and EP Logo.  I can do this like I did for Aventis last week. - Support.  The meeting is at 10:00 am CST for 2 hours.  Can we get support from HQ in case the backend needs to be bounced? Clarification: - We are continuing to use 'old' code.  Reasons: 1) mPharma does not use 3rd party data source 2) mPharma does not auto-sync 3) mPharma does not provide Siebel thin client access to the real siebel data. Ray|||Andy: Hi Ray - Good luck at Lilly next week.  The rebranding sounds great.  Let me know if you need any help with graphics, but I think your pretty much good to go with that. As for the support, that would come from Richard's team and Michael. Richard - do you have someone available to monitor the servers for a live customer demo on Wed 8-10am PST?  Ray will be sync'ing to the EP Server and our Siebel server.  This does not require any development work, we just need someone to monitor the servers to make sure everything is running smoothly. Michael - would you please work with Richard's team to make sure that Siebel is running properly for the demo.  (Wed 8-10am PST) IMPORTANT - We are using the old demo app to sync.  We are not using the mPharma application. Please set up the servers accordingly. I would suggest coordinating a dry run of the sync on Tuesday since the meeting is on Wednesday. Thanks! Andy|||Stuart: Team, This is a very big meeting we should do everything possible to make this demo look great and powerful. Please let me know if you need anything from me... Thanks. Stuart|||Richard: Ray, I will make sure someone is available on the applications side. We will also test next Tues. evening/Wed. morning. Let me know if there's anything else you need. One question, you're assuming Internet connectivity through their firewall or a dialup? Just asking, no need to reply. Thanks, Richard",Ray tells Andy about some demos. Andy wishes Ray luck and asks Michael for help with demo. Stuart reminds everyone of the importance of the demo. Richard updates Ray.,Ray tells Andy he'll be giving a presentation to Lily on syncing with Siebel as well as some demos. Andy gets support from Richard and emphasizes it be successful.
26,"Subject: guardian & dmd|||Christopher: Guys: Here's the link to the company that Guardian worked with.  They claim Boston Coach as a customer. Niche is really FFA and not what Guardian claims to want to do. HTTP://LINK Thank you and have a great day! Chris Christopher|||Christopher: Guys: Here's the link to the company that Guardian worked with.  They claim Boston Coach as a customer. Niche is really FFA and not what Guardian claims to want to do. HTTP://LINK Thank you and have a great day! Chris Christopher|||Ray: That press happened in '98....Jeff was talking to Boston Coach this spring, so they can't be too happy with DMD. Other things: - Largely Microsoft/RIMbased.  We support Phones, PalmOS, I-mode, and voice. - Loose secuity (they claim they are going to build capabilities with certicom)...We already support - No alerts capability. Ray",Christopher tells Peter and Ray about a  company they might work with. Ray says the company does not look good.,Christopher provides a link to his coworkers for the company that Guardian just partnered with. Ray is skeptical and leaves a couple comments as to why.
27,"Subject: mobile logic ?|||Dan: What is our definition of Mobile Logic ? Ray and Phil had a difficult time explaining this to an FSI prospect who is a business guy with tech backgound. Thanx, Dan.|||Prakash: The way you explain this in two parts; Mobile presentation logic and Mobile Application logic. Presentation is about device optimization, easy navigation, creating optimal  user experience and also the ability to assemble data from multiple sources to create a unified presentation at the device level. Mobile App. logic is about intelligent Alert, location specific data adaptation and store-and-forward framework that seamlessy  moves back and forth between connected  and disconnected modes. prakash|||Dan: SE Team, Here is some feedback from Prakash about how we should define/explain ""Mobile Logic"" which is a new term we're using to differientiate ourselves. Thanx Prakash. FYI, Dan.","Dan asks for a definition of Mobile Logic, and Prakash provides a detailed explanation. Dan then forwards the explanation to his team.",Dan inquires as to what the definition of mobile logic should be for an FSI prospect.feedback is received from the group and a definition is set.
